Symbol,Company Name,Industry,Market Cap
DHI,D.R. Horton,Household Durables,30260
DHR,Danaher,Health Care Equipment & Supplies,194960
DIDI,DiDi Global,Software-Application,19390
DIS,The Walt Disney Company,Entertainment,256200
DISCA,Discovery,Media,13590
DISCB,Discovery,Media,13790
DISCK,Discovery,Media,13590
DISH,DISH Network,Media,15950
DLR,Digital Realty Trust,Equity Real Estate Investment Trusts ...,40440
DLTR,Dollar Tree,Multiline Retail,32270
DOCS,Doximity,Health Information Services,13450
DOCU,DocuSign,Software,20060
DOV,Dover,Machinery,21740
DOW,Dow Inc.,Chemicals,43280
DOX,Amdocs,IT Services,10100
DPZ,Domino's Pizza,"Hotels, Restaurants & Leisure",14910
DRE,Duke Realty,Equity Real Estate Investment Trusts ...,21220
DRI,Darden Restaurants,"Hotels, Restaurants & Leisure",16860
DT,Dynatrace,Software,11840
DTE,DTE Energy Company,Multi-Utilities,24780
DUK,Duke Energy,Electric Utilities,80980
DVA,DaVita,Health Care Providers & Services,10550
DVN,Devon Energy,"Oil, Gas & Consumable Fuels",39570
DXCM,DexCom,Health Care Equipment & Supplies,41940
E,Eni SpA,"Oil, Gas & Consumable Fuels",53380
EA,Electronic Arts,Entertainment,35570
EBAY,eBay Inc.,Internet & Direct Marketing Retail,32700
EBR,Centrais Eletricas Brasileiras,Electric Utilities,10700
EC,Ecopetrol,"Oil, Gas & Consumable Fuels",36020
ECL,Ecolab,Chemicals,48210
ED,Consolidated Edison,Multi-Utilities,31830
EFX,Equifax,Professional Services,27800
EIX,Edison International,Electric Utilities,24970
EL,The Estee Lauder Companies,Personal Products,102310
ELAN,Elanco Animal Health,Pharmaceuticals,13230
ELP,Companhia Paranaense de Energia,Electric Utilities,18580
ELS,Equity LifeStyle Properties,Equity Real Estate Investment Trusts ...,15170
EMN,Eastman Chemical Company,Chemicals,14810
EMR,Emerson Electric Company,Electrical Equipment,54400
ENB,Enbridge,"Oil, Gas & Consumable Fuels",90920
ENIA,Enel Americas,Electric Utilities,12430
ENPH,Enphase Energy,Semiconductors & Semiconductor Equipment,21180
ENTG,Entegris,Semiconductors & Semiconductor Equipment,15760
EOG,EOG Resources,"Oil, Gas & Consumable Fuels",69520
EPAM,EPAM Systems,IT Services,11290
EPD,Enterprise Products Partners,"Oil, Gas & Consumable Fuels",55350
EQH,Equitable Holdings,Diversified Financial Services,11940
EQIX,Equinix,Equity Real Estate Investment Trusts ...,65400
EQNR,Equinor ASA,"Oil, Gas & Consumable Fuels",113800
EQR,Equity Residential,Equity Real Estate Investment Trusts ...,34550
ERIC,Ericsson,Communications Equipment,30120
ES,Eversource Energy,Electric Utilities,29600
ESS,Essex Property Trust,Equity Real Estate Investment Trusts ...,22970
ET,Energy Transfer LP,"Oil, Gas & Consumable Fuels",32150
ETN,Eaton,Electrical Equipment,59730
ETR,Entergy,Electric Utilities,22790
ETSY,"Etsy, Inc.",Internet & Direct Marketing Retail,19530
EVRG,Evergy,Electric Utilities,14610
EW,Edwards Lifesciences,Health Care Equipment & Supplies,68950
EWBC,East West Bancorp,Banks,10970
EXAS,Exact Sciences,Biotechnology,12320
EXC,Exelon,Electric Utilities,43400
EXPD,Expeditors International of Washington,Air Freight & Logistics,16640
EXPE,Expedia Group,Internet & Direct Marketing Retail,27450
