Symbol,Company Name,Industry,Market Cap
AGCO,AGCO Corporation,Machinery,9680
AGE,AgeX Therapeutics,Biotechnology,28
AGEN,Agenus,Biotechnology,775
AGFS,AgroFresh Solutions,Chemicals,101
AGFY,Agrify,Machinery,134
AGGR,Agile Growth,Blank Check / SPAC,377
AGI,Alamos Gold,Metals & Mining,3070
AGIL,AgileThought,Software-Application,255
AGIO,Agios Pharmaceuticals,Biotechnology,1720
AGL,agilon health,Medical Care Facilities,8610
AGLE,Aeglea Biotherapeutics,Biotechnology,111
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1270
AGM-A,Federal Agricultural Mortgage,Credit Services,1260
AGMH,AGM Group Holdings,Capital Markets,37
AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6850
AGO,Assured Guaranty,Insurance,3990
AGR,Avangrid,Electric Utilities,17410
AGRI,AgriFORCE Growing Systems,Farm Products,27
AGRO,Adecoagro,Food Products,1180
AGRX,Agile Therapeutics,Pharmaceuticals,36
AGS,PlayAGS,"Hotels, Restaurants & Leisure",283
AGTC,Applied Genetic Technologies,Biotechnology,76
AGTI,Agiliti,Health Information Services,2360
AGX,Argan,Construction & Engineering,633
AGYS,Agilysys,Software,1010
AHCO,AdaptHealth,Health Care Providers & Services,2020
AHG,Akso Health Group,Credit Services,100
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1310
AHI,Advanced Human Imaging,Software-Application,27
AHPA,Avista Public Acquisition II,Blank Check / SPAC,288
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,11
AHRN,Ahren Acquisition,Blank Check / SPAC,370
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,271
AI,C3.ai,Software,2040
AIB,AIB Acquisition,Blank Check / SPAC,113
AIG,American International Group,Insurance,46830
AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,75
AIHS,Senmiao Technology,Consumer Finance,15
AIKI,AIkido Pharma,Biotechnology,35
AIM,AIM ImmunoTech,Biotechnology,33
AIMC,Altra Industrial Motion,Machinery,2670
AIN,Albany International,Machinery,2740
AINC,Ashford,Capital Markets,59
AINV,Apollo Investment,Capital Markets,851
AIP,Arteris,Semiconductors,423
AIR,AAR Corp.,Aerospace & Defense,1590
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,8850
AIRG,Airgain,"Electronic Equipment, Instruments & C...",84
AIRI,Air Industries Group,Aerospace & Defense,30
AIRS,AirSculpt Technologies,Medical Care Facilities,720
AIRT,Air T,Air Freight & Logistics,65
AIT,Applied Industrial Technologies,Trading Companies & Distributors,3870
AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1120
AIZ,Assurant,Insurance,9340
AJG,Arthur J. Gallagher & Company,Insurance,33340
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3160
AJX,Great Ajax,Mortgage Real Estate Investment Trust...,259
AKA,a.k.a. Brands Holding,Internet Retail,547
AKAM,Akamai Technologies,IT Services,18050
AKBA,Akebia Therapeutics,Biotechnology,439
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,290
AKO-A,Embotelladora Andina,Beverages-Non-Alcoholic,1910
AKO-B,Embotelladora Andina,Beverages-Non-Alcoholic,1930
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,2140
AKRO,Akero Therapeutics,Biotechnology,548
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",319
AKTX,Akari Therapeutics,Pharmaceuticals,70
AKU,Akumin,Diagnostics & Research,92
AKUS,Akouos,Biotechnology,157
AKYA,Akoya Biosciences,Medical Instruments & Supplies,374
AL,Air Lease,Trading Companies & Distributors,4170
ALAC,Alberton Acquisition,Blank Check / SPAC,54
ALB,Albemarle,Chemicals,20960
ALBO,Albireo Pharma,Biotechnology,513
ALC,Alcon,Medical Instruments & Supplies,37160
ALCC,AltC Acquisition,Blank Check / SPAC,622
ALCO,Alico,Food Products,252
ALDX,Aldeyra Therapeutics,Biotechnology,218
ALE,ALLETE,Electric Utilities,3460
ALEC,Alector,Biotechnology,1220
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1630
ALF,"ALFI, Inc.",Software-Infrastructure,31
ALG,Alamo Group,Machinery,1710
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,4930
ALGN,Align Technology,Health Care Equipment & Supplies,36600
ALGS,Aligos Therapeutics,Biotechnology,98
ALGT,Allegiant Travel Company,Airlines,2940
ALHC,Alignment Healthcare,Health Care Providers & Services,1740
ALIM,Alimera Sciences,Pharmaceuticals,34
ALIT,Alight,Software-Application,5100
ALJJ,ALJ Regional Holdings,IT Services,109
ALK,Alaska Air Group,Airlines,6330
ALKS,Alkermes,Biotechnology,3750
ALKT,Alkami Technology,Software-Application,1310
