Stock Name,NSE code,BSE code,ISIN,Current Price Rs,Industry Name,Industry Net Profit Growth Annual YoY %,PEG TTM PE to Growth,Net Profit Margin Annual %,Operating Profit Margin Annual %,Net Profit Annual YoY Growth %,Revenue Growth Annual YoY %,10Yr High Rs,10Yr price change %,Industry PE TTM,Long Term Debt To Equity Annual,ROCE Annual 1Yr Ago %,ROCE Annual %,Market Capitalization in Cr,MACD,50Day EMA Rs,200Day EMA Rs,% Distance from 52week high,Previous Day RSI,RSI
Kolte-Patil Developers Ltd.,KOLTEPATIL,532924,INE094I01018,452.8,Realty,30.1,0.4,7.6,12.4,29,33.8,467,710.8,97.8,0.3,14.9,13.8,3441.9,12.6,406.7,334.8,3,61.1,60.3
Kopran Ltd.,KOPRAN,524280,INE082A01010,235.7,Pharmaceuticals,6.1,-0.8,4.9,9.3,-55.4,13.5,370.4,1614.2,38.9,,18.9,8.9,1136.3,13.6,186.5,169.3,6.7,74.2,74.6
Kotak Mahindra Bank Ltd.,KOTAKBANK,500247,INE237A01028,1771.1,Banks,41.1,0.9,35.1,29.5,23.5,15.4,2253,437,18.8,0.5,5.5,5.9,351991.8,-22.2,1826.9,1838.8,14.2,38.8,34.9
Kovai Medical Center and Hospital Ltd.,KOVAI,523323,INE177F01017,2693.6,Healthcare Services,-61.6,0.7,11.4,25.9,11,12.8,2850,1917.7,55.6,0.6,15.6,15.5,2947.4,31.6,2542.5,2135.2,5.5,54.9,54.8
KPI Green Energy Ltd.,KPIGREEN,542323,INE542W01017,873.4,Electric Utilities,15.7,0.2,17,32.2,153.5,179.5,960,,44.8,1.6,16.2,10.7,3155.9,25.5,812.5,605.6,9,60.9,58.3
KPIT Technologies Ltd.,KPITTECH,542651,INE04I401011,1200.7,IT Consulting & Software,10.3,1.8,11.4,18.6,38.9,37.5,1219.3,,36.4,,22.3,23.6,32916.4,19.6,1101.9,924.8,1.5,57.4,61.6
KPR Mill Ltd.,KPRMILL,532889,INE930H01031,761.6,Textiles,-85.9,-2.7,13.2,20.4,-3.3,27.3,773,6376.2,31.3,0.1,30,27.2,26032.6,28.4,665.5,609.1,1.5,72.6,71.5
KRBL Ltd.,KRBL,530813,INE001B01026,401.4,Packaged Foods,42.6,0.3,13.1,17.2,52.6,28.3,675,1538.6,67.6,,14.8,19.7,9449.7,6.1,385.5,366.4,9.8,56,57.2
Krishna Institute of Medical Sciences Ltd.,KIMS,543308,INE967H01017,1933.6,Healthcare Facilities,17.7,4.2,16.6,27.2,1.1,33.1,2075,,63.6,0.3,27.4,18.9,15473.8,34.9,1858.8,1622.9,6.8,56.2,62.7
Kriti Industries (India) Ltd.,KRITI,526423,INE479D01038,110.3,Plastic Products,-18.8,0.3,-3.1,-1.1,-215.4,34.8,146,2657.5,71.8,0.2,16.9,-8,547.1,-1.9,110.1,102.2,21.7,45,50.9
Krsnaa Diagnostics Ltd.,KRSNAA,543328,INE08LI01020,645.2,Healthcare Services,-61.6,12.9,12.8,24.1,-9.2,7.7,1099.7,,55.6,,14.4,10.8,2025.6,24.9,544,518.4,0.6,71,71.6
KSB Ltd.,KSB,500249,INE999A01015,2742.9,Industrial Machinery,-23.6,2.5,9.6,13.2,22.3,21.8,2892,1295.2,50.3,,18.8,20.5,9547.4,110.5,2446.1,2128.4,5.2,71.3,71.3
Kuantum Papers Ltd.,KUANTUM,532937,INE529I01021,188.4,Paper & Paper Products,167.6,,10.4,28.9,914.3,57.4,225.8,,21.8,0.3,5.1,22.8,1644,4,191.4,158.1,16.6,48.9,44.5
L&T Finance Holdings Ltd.,L&TFH,533519,INE498L01015,126.4,Holding Companies,56.5,0.3,12,56.5,51.7,7.9,213.8,128,25.7,1.8,10.5,13,31398.4,-0.8,122.9,105.1,9.8,48.4,50.2
L&T Technology Services Ltd.,LTTS,540115,INE010V01017,4450.7,IT Consulting & Software,10.3,2.1,14.6,20.8,22.2,22.3,5955.5,,36.4,,28.7,31.2,47036.5,81.9,4145.8,3879.4,0.4,66.8,68.2
La Opala RG Ltd.,LAOPALA,526947,INE059D01020,432.2,Houseware,1.4,1.1,27.2,36.3,40.8,38.7,479.8,939.4,72.2,,16.2,20.6,4797.4,-5.3,436.6,399.6,9.9,49.5,49.4
Lakshmi Machine Works Ltd.,LAXMIMACH,500252,INE269B01029,15132.4,Industrial Machinery,-23.6,0.7,8.1,9.2,112.1,50.2,15499.9,747.1,50.3,,10.5,19.1,16165.9,211.5,13307.6,12154.7,2.4,62.9,75.6
Lancer Container Lines Ltd.,LANCER,539841,INE359U01028,260.3,Transportation - Logistics,-96.2,0.8,6.4,10.6,85.6,31.4,261.5,,72,1.4,40.5,17.7,1643.6,19.6,196.3,169.3,0.5,92.7,93.2
Landmark Cars Ltd.,LANDMARK,543714,INE559R01029,703.5,Specialty Retail,2213.6,,10.5,19.4,45,-28.2,780.8,,68.3,,15.4,14.3,2830.1,-3.4,713.6,,9.9,44.8,42.5
Larsen & Toubro Ltd.,LT,500510,INE018A01030,2702.1,Construction & Engineering,43.8,1.5,6.9,11.1,20.8,17.3,2766.8,459.4,32.4,0.7,10.9,12,379799.8,38.3,2573.2,2304.1,2.3,60.6,59.5
Latent View Analytics Ltd.,LATENTVIEW,543398,INE0I7C01011,455.2,Data Processing Services,18.7,4.5,28.8,24.4,20,38.7,754.9,,55.4,,12.8,15.6,9326.1,13.2,391.6,374.9,0.6,59.5,59.8
Laurus Labs Ltd.,LAURUSLABS,540222,INE947Q01028,396.4,Pharmaceuticals,6.1,-1.2,13.2,26.3,-4.5,22.2,723.8,,38.9,0.2,27.6,24.4,21354.8,7.9,372.6,376.4,31.9,62.6,62.2
Laxmi Organic Industries Ltd.,LXCHEM,543277,INE576O01020,297.8,Specialty Chemicals,-8.2,-1.5,4.4,8.7,-51.4,-9.4,628,,65.2,0.1,25,11.6,7910.2,8.1,265.8,276.9,24.7,81.4,73.6
Lemon Tree Hotels Ltd.,LEMONTREE,541233,INE970X01018,108,Hotels,516.2,0.1,16,50.6,231,112.3,112.8,,54.7,2.3,0.8,10.7,8560.2,3.9,97.4,87.6,4.2,71.3,69.1
LG Balakrishnan & Bros Ltd.,LGBBROSLTD,500250,INE337A01034,1059.2,Auto Parts & Equipment,-1.9,-1.7,11.4,17.2,2.6,5.3,1237.6,2683.8,54.4,,26.6,22.9,3325.2,-14.6,1019.3,869.1,14.4,38.2,60.6
LIC Housing Finance Ltd.,LICHSGFIN,500253,INE115A01026,433.2,Housing Finance ,13681.1,1,,,,,794,161.1,15.7,,9.8,,23828.7,4.6,407.1,387,2.8,54.4,56.1
Life Insurance Corporation of India,LICI,543526,INE0J1Y01017,645.8,Life Insurance,405.4,,4,5,772.7,8.3,919,,46,,0.3,0.9,408436.7,4.6,636,628.8,14.4,53.1,49.4
Likhitha Infrastructure Ltd.,LIKHITHA,543240,INE060901027,300.8,Construction & Engineering,43.8,0.7,16.5,22.5,31.1,41.6,327.5,,32.4,,32.1,32.7,1186.5,4.9,285.6,253.4,8.2,59.2,58.2
Lincoln Pharmaceuticals Ltd.,LINCOLN,531633,INE405C01035,510,Pharmaceuticals,6.1,,14.3,16.7,5.1,10.5,531,,38.9,,21.9,19.9,1021.4,22.7,445.7,387.4,4,74.4,70.4
Linde India Ltd.,LINDEINDIA,523457,INE473A01011,6549.4,Industrial Gases,16.8,16.8,16.9,23.6,6.1,49.5,6614.4,2604.7,130.3,,13.4,17.8,55855.6,377.4,5011,4161.9,1,79.9,82.8
Lloyds Engineering Works Ltd.,LSIL,539992,INE093R01011,42.9,Industrial Machinery,-23.6,0.9,11.8,16.4,519.2,432,59.8,,50.3,,8.1,27.2,4628.4,0.9,38.7,26.6,28.2,53,49.1
Lloyds Metals & Energy Ltd.,LLOYDSME,512455,INE281B01032,548.8,Iron & Steel/Interm.Products,-69.2,0.1,-8.5,23.4,-396.3,376.7,687.8,6355.9,43.5,,22.3,55.5,27702.2,-4.3,528,372.6,20.2,43.6,42.6
LT Foods Ltd.,DAAWAT,532783,INE818H01020,164.7,Packaged Foods,42.6,0.3,5.7,10,37.8,28,194.1,2273.2,67.6,0.1,19.3,18.6,5719.3,2.1,157.9,127.3,15.1,46.6,48
LTIMindtree Ltd.,LTIM,540005,INE214T01019,5303.4,IT Consulting & Software,10.3,1.1,13.3,18.1,91.9,109.1,7588.8,,36.4,,33.2,33,156929,46.7,5033.7,4845.4,2.3,59.5,61.1
Lumax Auto Technologies Ltd.,LUMAXTECH,532796,INE872H01027,376,Auto Parts & Equipment,-1.9,4.5,6,10.7,33.8,23.1,470,1965.1,54.4,0.6,18.6,12,2563.1,-1.6,373,312.8,20,44.3,44.4
Lumax Industries Ltd.,LUMAXIND,517206,INE162B01018,2286.4,Auto Parts & Equipment,-1.9,0.4,2.6,8.9,153.1,32.3,2580,601.6,54.4,0.1,12.8,17.9,2137.3,29.7,2129.8,1918.3,2.5,62,65.6
Lupin Ltd.,LUPIN,500257,INE326A01037,1093.8,Pharmaceuticals,6.1,0.4,2.7,10.8,128.1,1,2129,37.4,38.9,,-9.1,7.2,49793.1,32.8,997.1,838,4.4,65.5,64.4
Lux Industries Ltd.,LUXIND,539542,INE150G01020,1467.4,Other Apparels & Accessories,14.9,-0.6,5.8,8.9,-58.2,3.7,4644,,72.8,,35,14.2,4412.9,-21.1,1497.1,1560,25.1,40.8,45.6
M M Forgings Ltd.,MMFL,522241,INE227C01017,935.6,Other Industrial Products,16.5,1.2,8.8,18.5,40.6,27.7,1099,2395.1,64.1,0.5,16.5,19.8,2258.7,-13.4,944.9,890.1,14.9,41.7,42
Macrotech Developers Ltd.,LODHA,543287,INE670K01029,680.8,Realty,30.1,-2.4,5.2,21.5,-59.5,0.3,773,,97.8,0.2,15.5,13.8,65646.6,-8.9,674.2,581.1,11.9,43.8,44.1
Magadh Sugar & Energy Ltd.,MAGADSUGAR,540650,INE347W01011,526.7,Sugar,75.4,0.4,5.3,13.7,9.2,-4.3,545.9,,16.6,0.2,13.7,13.2,742.2,14,453.6,383.7,3.5,62.2,75.7
Mahanagar Gas Ltd.,MGL,539957,INE002S01010,1030.3,Utilities:Non-Electrical,-33.8,0.2,12.5,18.5,32.3,75.8,1377.5,,50.2,,20.8,23.8,10177.1,-12.8,1038.2,984.4,9.9,48.9,47.8
Mahanagar Telephone Nigam Ltd.,MTNL,500108,INE153A01019,25.2,Telecom Services,-14.7,,-311.8,-28.8,-12,-12.9,40.8,154.5,58,-0.9,35.6,81.1,1587.6,0.8,20.7,21,16.8,64.3,62.1
Maharashtra Scooters Ltd.,MAHSCOOTER,500266,INE288A01013,7222.6,Investment Companies,-22.6,1.2,90.3,89,36.8,12,7272.7,1842.4,34.8,,0.7,0.9,8254.5,337.6,5856.1,5138.7,0.7,87.9,89.6
Maharashtra Seamless Ltd.,MAHSEAMLES,500265,INE271B01025,559.1,Iron & Steel/Interm.Products,-69.2,0.1,13.9,17.9,101.1,34.7,565.2,488.4,43.5,,12.9,18.6,7491.9,10.9,485.4,422,1.1,61.3,67.8
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,532720,INE774D01024,299.2,Finance (including NBFCs),56.2,-0.7,16,62.4,82.3,12.6,534,18.4,27.2,2,11.6,14,36960.9,-2,297.1,268.6,13.7,52,52.1
Mahindra & Mahindra Ltd.,M&M,500520,INE101A01026,1592,Cars & Utility Vehicles,79.4,0.4,8.1,16.6,56.3,34.4,1604.5,306.5,25.5,1,10.3,12.7,197963.6,17.2,1499.5,1348.7,0.8,61.8,59.6
Mahindra Holidays & Resorts India Ltd.,MHRIL,533088,INE998I01010,397.6,Hotels,516.2,-3.4,4.5,18,70.5,20.4,418.4,315.8,54.7,-1.3,2.9,3.7,8013.5,18.4,346,301.1,5,72.5,72.3
Mahindra Lifespace Developers Ltd.,MAHLIFE,532313,INE813A01018,568.2,Realty,30.1,-4.5,-2.5,-16.7,-34.4,61.6,588,324.2,97.8,,-4.3,-3.8,8805.9,15.4,498.8,433.3,3.4,77.3,79.4
Mahindra Logistics Ltd.,MAHLOG,540768,INE766P01016,393.8,Transportation - Logistics,-96.2,-7.5,0.5,5,-29.1,25.6,821,,72,0.4,8.6,7.6,2836.8,3.8,378.2,406.2,30.5,62.8,61.9
Man Industries (India) Ltd.,MANINDS,513269,INE993A01026,179,Iron & Steel/Interm.Products,-69.2,-0.6,3,6,-33.1,4.4,183.8,155.4,43.5,0.1,17.6,11.3,1076.1,4.2,145.4,118.7,2.6,58.7,58.6
Man Infraconstruction Ltd.,MANINFRA,533169,INE949H01023,152.5,Construction & Engineering,43.8,0.5,15,21.4,19.5,66.7,155.5,723.4,32.4,,33.3,38.4,5661.6,5.1,129.1,102.7,1.9,60.6,59.8
Manaksia Ltd.,MANAKSIA,532932,INE015D01022,141.4,Commodity Trading  & Distribution,130.3,-0.3,9.2,11.8,-41.6,0.7,194.2,188.2,95.1,,23.5,17.1,926.3,-2.7,141.2,126.5,27.2,45,44.4
Manali Petrochemicals Ltd.,MANALIPETC,500268,INE201A01024,68.1,Petrochemicals,10.6,-0.7,4.3,6.5,-86.7,-28.7,149.6,947.7,18.7,,47.6,7,1171.3,0.3,65.5,72.7,37.8,68.5,69.2
Manappuram Finance Ltd.,MANAPPURAM,531213,INE522D01027,151.8,Finance (including NBFCs),56.2,0.2,22.4,64.7,12.6,10.2,224.5,716.1,27.2,0.7,20.8,25.5,12848.3,3.8,137.1,124.1,2.6,60.9,66.5
Mangalam Cement Ltd.,MANGLMCEM,502157,INE347A01017,354.9,Cement & Cement Products,-27.3,-2.8,1,8.1,-78,15.3,543.6,277.4,65.2,0.4,14.6,9.4,975.9,7.1,321.8,310.3,11.7,58.5,57.4
Mangalam Industrial Finance Ltd.,MANGIND,537800,INE717C01025,4.2,Finance (including NBFCs),56.2,0.2,-379.6,-367,-474.6,13.8,34.3,,27.2,,-1.9,-17.2,404.9,0.3,3.2,3.3,26.7,71.4,74
Mangalam Organics Ltd.,MANORG,514418,INE370D01013,389.8,Commodity Chemicals,30.6,0.1,-5.5,-0.6,-150.7,0.2,1299,,44.9,0.2,21.3,-6.2,333.8,-12,425.2,476.5,41.4,28.3,33
Mangalore Chemicals & Fertilizers Ltd.,MANGCHEFER,530011,INE558B01017,111,Fertilizers,13,0.1,3.7,8.4,53.3,25.8,131.8,124.3,26.3,0.5,18.7,22.4,1316.1,2.4,105.2,99.2,15.8,59.5,56.5
Mangalore Refinery And Petrochemicals Ltd.,MRPL,500109,INE103A01014,96.4,Refineries/Petro-Products,-18.9,-0.2,2.4,6,-10.2,56.2,146.7,212.8,23.6,1.3,17.8,23.8,16886.3,3.2,84.2,70.4,2.4,71.8,72.2
Mankind Pharma Ltd.,MANKIND,543904,INE634S01028,1716.6,Pharmaceuticals,6.1,,14.8,21.4,-10.6,11.3,1949,,38.9,,30.9,21.7,68763,1.2,1743.3,,11.9,45.9,49.8
Manorama Industries Ltd.,MANORAMA,541974,INE00VM01010,1947.2,Other Food Products,9.2,1.9,8.5,15.8,23.3,24.2,1989,,36.5,0.1,13,15.7,2321,55.5,1709,1402.5,2.1,58.4,61
Marathon Nextgen Realty Ltd.,MARATHON,503101,INE182D01020,369.6,Realty,30.1,,15.7,31.5,214.1,120.5,389,,97.8,1,6.9,16.9,1735.8,8,345.2,292.4,5,61.8,64.2
Marico Ltd.,MARICO,531642,INE196A01026,569.4,Personal Products,6.7,5.8,13.5,18.3,6.3,3.1,607.7,435.7,57.5,,45.1,39.8,73640,3.6,552.1,526.6,3.2,58.1,57.3
Marksans Pharma Ltd.,MARKSANS,524404,INE750C01026,111.4,Pharmaceuticals,6.1,0.4,14.3,17.8,42.6,24.7,122.5,1681.6,38.9,,19.9,18.8,5046,0.9,106.2,83.8,9.1,48.5,53.8
Maruti Suzuki India Ltd.,MARUTI,532500,INE585B01010,10331.2,Cars & Utility Vehicles,79.4,0.3,6.8,9.2,111.7,32.9,10398,730.8,25.5,,8.1,16,312086.5,43.1,9549.6,9103,0.6,62.3,69.1
Mas Financial Services Ltd.,MASFIN,540749,INE348L01012,818.2,Finance (including NBFCs),56.2,0.8,20.8,77.6,27.6,43.3,1270,,27.2,0.6,29.2,31.5,4472.7,10.1,793.4,768.1,12.8,54.2,55
Mastek Ltd.,MASTEK,523704,INE759A01021,2365.5,IT Consulting & Software,10.3,-4.5,12.1,17.5,-0.7,17.2,3669,1846.1,36.4,0.2,27.8,17.7,7239.8,67.7,2082.9,1934.7,1.4,70.8,75.9
Matrimony.com Ltd.,MATRIMONY,540704,INE866R01028,635.8,Internet Software & Services,-99.5,-5.3,10.2,14,-12.9,6.1,1242,,51.8,,21.2,20.2,1415.2,-1.8,639,620.5,12.1,47.9,48
Max Financial Services Ltd.,MFSL,500271,INE180A01020,937.2,Life Insurance,405.4,1.9,1.4,1.8,49.4,0.8,1148,480.3,46,0.1,7.8,10.6,32345.9,34.6,825.5,758.6,0.8,76.6,76.3
Max Healthcare Institute Ltd.,MAXHEALTH,543220,INE027H01010,575,Healthcare Facilities,17.7,0.6,24.2,26.4,82.4,15.8,630,,63.6,0.1,10.1,12.7,55852.3,-1.6,566.2,506.9,8.7,53.6,57.7
Mayur Uniquoters Ltd.,MAYURUNIQ,522249,INE040D01038,563.5,Textiles,-85.9,136.6,13.4,17.5,10.4,17.2,626.9,419.6,31.3,,17.2,17.4,2476.7,14.3,522.2,484.7,3.5,59.6,60.3
Mazagon Dock Shipbuilders Ltd.,MAZDOCK,543237,INE249Z01012,1887,Shipping,180,0.5,13.4,9.4,83.2,38.6,2042,,25.1,,16.8,26.5,38059.9,41.7,1659.4,1105.2,7.6,57.7,55.7
Medicamen Biotech Ltd.,MEDICAMEQ,531146,INE646B01010,723.3,Pharmaceuticals,6.1,11.5,10.4,16.7,-1.1,22.3,1225,,38.9,,12.7,10.2,915.1,-13.1,746.3,745.7,41,46.6,47
Medplus Health Services Ltd.,MEDPLUS,543427,INE804L01022,833.1,Healthcare Supplies,-11.7,-50,1.1,5.8,-48.1,20.8,1343,,115.8,,9,5.6,9943.2,-6,871.1,792.3,14.8,48.5,30.1
Meghmani Finechem Ltd.,MFL,543332,INE071N01016,1003.8,Specialty Chemicals,-8.2,-1,16.1,31.4,39.8,41.2,1736,,65.2,0.4,26.9,32.9,4171,1,957.9,1038.2,42.2,69.9,64.1
Meghmani Organics Ltd.,MOL,543331,INE0CT101020,83.7,Agrochemicals,8.6,-0.3,9.3,12.9,-21.9,2.1,152.5,,39.9,0.2,23.4,16.6,2128.6,-0.3,83,92.2,38.4,53.6,53.3
Menon Bearings Ltd.,MENONBE,523828,INE071D01033,153.9,Auto Parts & Equipment,-1.9,1.7,14.9,24.1,33.4,11,166.4,,54.4,,28.4,31.9,862.5,3.5,136.5,119.5,7.5,74.5,77.2
Metro Brands Ltd.,METROBRAND,543426,INE317I01021,1053.2,Footwear,29.6,12.3,17.1,31.1,70.8,55.6,1127.2,,91.5,,17.7,23.1,28620.5,-0.1,1033.5,909.5,6.6,53.4,48.9
Metropolis Healthcare Ltd.,METROPOLIS,542650,INE112L01020,1362.9,Healthcare Services,-61.6,-2.5,12.5,24.8,-33.3,-6.6,3579.9,,55.6,,24.2,17.3,6980.9,-16.4,1368.5,1410.1,23.9,49.2,45.1
Minda Corporation Ltd.,MINDACORP,538962,INE842C01021,345.2,Auto Parts & Equipment,-1.9,1.8,6.8,10.7,48.3,43.9,346.8,1090.5,54.4,0.1,13.2,17.3,8254.2,7,301.7,261.4,0.4,63.3,64.3
Mishra Dhatu Nigam Ltd.,MIDHANI,541195,INE099Z01011,411.2,Iron & Steel Products,7.9,-4.7,17.9,28.3,-11.5,2.1,426.3,,45.6,0.1,13.2,11.8,7704.4,21.6,342.6,263.4,3.5,67.3,69.7
Mishtann Foods Ltd.,MISHTANN,539594,INE094S01041,12,Other Agricultural Products,8.9,2.4,7.7,12.7,58.9,30.5,36.2,,33.2,,43,52.4,1199,,12,10.2,18.9,46.1,42.1
MMTC Ltd.,MMTC,513377,INE123F01029,43.8,Commodity Trading  & Distribution,130.3,,30.4,-3,695.4,-69.3,71.2,43.6,95.1,,-425.7,-1.4,6562.5,1.9,37,34.9,1.2,65.1,62.6
MOIL Ltd.,MOIL,533286,INE490G01020,242.6,Mining,-37.8,-0.5,18.7,26,-33.5,-6.4,285.8,131.1,12.1,,23.4,14.3,4936.6,10.4,197.7,173.2,0.7,70.6,75.2
Mold-Tek Packaging Ltd.,MOLDTKPAC,533080,INE893J01029,967.7,Containers & Packaging,-54.8,7.3,11,18.5,26.4,15.5,1110,,27.8,,19.1,17.8,3209.4,-11.1,993.4,958.5,12.8,46.3,38.2
Monarch Networth Capital Ltd.,MONARCH,511551,INE903D01011,349.6,Capital Markets,-3.3,-2.4,27.6,36.2,-20.5,4.8,419.4,,22.1,,43.2,27.6,1184.2,11.4,304.5,273.4,16.6,70.8,66.6
Monte Carlo Fashions Ltd.,MONTECARLO,538836,INE950M01013,749.6,Other Apparels & Accessories,14.9,,11.8,19.1,16.3,22.4,918,,72.8,,21.1,20.6,1554.1,-17.1,786.6,732.2,18.3,42.7,41.3
Morepen Laboratories Ltd.,MOREPENLAB,500288,INE083A01026,38.7,Pharmaceuticals,6.1,-1.1,2.7,5.6,-62,-8.6,75,1620,38.9,,19.4,7.3,1978.2,2.1,33.5,31.2,20.1,73.5,68.1
MosChip Technologies Ltd.,MOSCHIP,532407,INE935B01025,96.5,IT Consulting & Software,10.3,9,3.1,12.9,-4.3,33.1,114.7,6693.7,36.4,0.1,18.1,8.8,1734.1,0.5,89.9,75.2,15.9,48.3,48.2
Motherson Sumi Wiring India Ltd.,MSUMI,543498,INE0FS801015,66,Auto Parts & Equipment,-1.9,-6.2,6.9,11,18.6,25,71.2,,54.4,,47.9,42.2,29157.2,0.3,59,55.8,7.3,50.3,64.3
Motilal Oswal Financial Services Ltd.,MOTILALOFS,532892,INE338I01027,908.7,Other Financial Services,115.6,0.3,22.3,44.7,-28.9,-2.8,1588.4,1167.4,27.7,1.1,20.5,13.3,13467.9,26.9,817.9,730.9,5.6,59.8,63.3
MphasiS Ltd.,MPHASIS,526299,INE356A01018,2433.2,IT Consulting & Software,10.3,3,11.9,17.4,14.5,15.2,3659.8,478.2,36.4,,25.3,25.8,45878.8,55.3,2208.9,2094.8,2.3,57,61.4
MPS Ltd.,MPSLTD,532440,INE943D01017,1497.4,Publishing,-22.6,0.6,21.8,30.6,25.3,10.6,1649,1179.8,23,,30.8,33.2,2561.3,76,1336.1,1080.6,9.2,63.4,59.5
MRF Ltd.,MRF,500290,INE883A01011,107984.2,Auto Tyres & Rubber Products,0.4,0.4,3.3,10.3,14.9,18.5,111997,737.5,33.2,0.1,7.2,8.2,45797.2,1474.7,104276.5,94911.5,3.6,69,62.2
Mrs. Bectors Food Specialities Ltd.,BECTORFOOD,543253,INE495P01012,1041,Packaged Foods,42.6,0.6,6.6,12.7,57.6,38.2,1135,,67.6,0.2,14.1,20.1,6122.9,43.1,933.2,691.5,8.3,55.4,61.4
MSP Steel & Power Ltd.,MSPL,532650,INE752G01015,11.9,Iron & Steel/Interm.Products,-69.2,,-2,2.4,-296.8,9.3,35.6,-15.6,43.5,0.9,9.1,1.8,458.6,0.4,10.9,9.8,13.8,52.6,53.2
MSTC Ltd.,MSTCLTD,542597,INE255X01014,400.1,Commodity Trading  & Distribution,130.3,1.4,33.9,22.2,21.5,-21.7,542,,95.1,,30.7,37.2,2816.7,-4.7,387.8,332.5,14.5,48,46.6
MTAR Technologies Ltd.,MTARTECH,543270,INE864I01014,2724,Defence,16.1,1.4,18,26,69.9,79.4,2815,,35.8,0.1,15.8,21.4,8378.8,57.4,2131.6,1877.7,3.2,61,71.2
Mukand Ltd.,MUKANDLTD,500460,INE304A01026,186,Iron & Steel/Interm.Products,-69.2,0.4,3.2,-2.9,-3.2,29.5,193.8,832.1,43.5,1.7,20.8,15,2686.9,8.1,152.2,134.2,4.1,72.4,66.4
Multi Commodity Exchange of India Ltd.,MCX,534091,INE745G01035,1824,Exchange,-4.5,-5.9,30,25.8,3.8,34.1,2135,387.8,38.6,,10.2,9.2,9302.1,8,1584.8,1509.7,1.1,57.7,66.5
Munjal Auto Industries Ltd.,MUNJALAU,520059,INE672B01032,58.6,Auto Parts & Equipment,-1.9,-0.4,2.6,4.5,109.5,4,98.4,337.7,54.4,0.1,11.7,7.8,586.5,1.2,56.9,50.8,11.4,56.1,54.8
Munjal Showa Ltd.,MUNJALSHOW,520043,INE577A01027,141.6,Auto Parts & Equipment,-1.9,0.1,2.6,2.4,162.6,16.9,313,153.2,54.4,,2.2,5.8,566.5,0.5,137.9,118.4,10.9,53.1,55.3
Music Broadcast Ltd.,RADIOCITY,540366,INE919I01024,13.2,Broadcasting & Cable TV,-86.8,-2.6,1.7,10.6,160.3,18,73.4,,32.1,,-0.8,1.6,458,0.3,12.3,14.8,52.3,58,59.6
Muthoot Capital Services Ltd.,MUTHOOTCAP,511766,INE296G01013,403.8,Finance (including NBFCs),56.2,0.1,17.7,57.8,145.8,11.7,1300,,27.2,,-12.3,51.9,664.1,1.3,375,326.9,5.2,56.6,54
Muthoot Finance Ltd.,MUTHOOTFIN,533398,INE414G01012,1261.2,Finance (including NBFCs),56.2,-12,30.8,76.3,-10.1,-2.1,1722,1010.3,27.2,,28.9,40.3,50632.7,-6,1265,1159.4,8.6,49.9,42.9
N R Agarwal Industries Ltd.,NRAIL,516082,INE740D01017,349.2,Paper & Paper Products,167.6,0.1,5.6,10.4,62.7,9.2,616,,21.8,0.2,17.6,18.1,594.4,9.8,307,286.7,18.4,64.8,63.9
NACL Industries Ltd.,NACLIND,524709,INE295D01020,82.2,Agrochemicals,8.6,-0.9,4.4,9.1,29.2,28.5,110.8,,39.9,0.4,18.6,21.8,1635.5,-1.2,85.1,87.2,25.7,47.1,53.6
Nahar Capital & Financial Services Ltd.,NAHARCAP,532952,INE049I01012,287.6,Investment Companies,-22.6,-0.1,149.3,51.8,-52.9,-21.7,691.6,795.8,34.8,,2,1.5,481.5,-0.8,286.3,298.9,29.9,55.2,51.4
Nahar Industrial Enterprises Ltd.,NAHARINDUS,519136,INE289A01011,118.8,Textiles,-85.9,-0.2,4.5,8,-49.5,-10.1,237.9,193.5,31.3,0.1,27.1,13.4,513.5,-1.8,117.7,114.1,13.9,51,50.3
Nahar Poly Films Ltd.,NAHARPOLY,523391,INE308A01027,252,Plastic Products,-18.8,-0.4,4.3,11.2,-55.8,47.6,597.9,2190.5,71.8,0.2,10.8,5.9,619.5,3.8,240.3,259.5,36.2,69.9,63
Nahar Spinning Mills Ltd.,NAHARSPING,500296,INE290A01027,271.4,Textiles,-85.9,-0.5,4,7.3,-77.9,-21.3,690,287.5,31.3,0.1,41,9.9,979,4.5,262.6,277.4,27.8,64.6,61
Nandan Denim Ltd.,NDL,532641,INE875G01030,23.1,Textiles,-85.9,0.4,,4.1,-98.8,-7.1,70,131.5,31.3,0.3,16.6,8.1,333,0.5,19.9,22.4,36.6,71.4,65.8
Narayana Hrudayalaya Ltd.,NH,539551,INE410P01011,1024.2,Healthcare Facilities,17.7,0.4,13.4,21,77.3,22.9,1077,,63.6,0.3,21.5,25.9,20931.7,5.9,993.9,866.2,4.9,56.6,62
Natco Pharma Ltd.,NATCOPHARM,524816,INE987B01026,902.6,Pharmaceuticals,6.1,0.2,26.4,33.3,320.8,37.6,1189,673.4,38.9,,5,17.6,16166.5,34.6,796.3,680.4,2.6,70.5,71.9
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,537291,INE448G01010,209.4,Other Agricultural Products,8.9,0.1,11.7,16.2,152.2,7.7,585,,33.2,,6.6,8,397.8,0.1,208.9,187.3,14.4,49.7,47.8
