Stock Name,NSE code,BSE code,ISIN,Current Price Rs,Industry Name,Industry Net Profit Growth Annual YoY %,PEG TTM PE to Growth,Net Profit Margin Annual %,Operating Profit Margin Annual %,Net Profit Annual YoY Growth %,Revenue Growth Annual YoY %,10Yr High Rs,10Yr price change %,Industry PE TTM,Long Term Debt To Equity Annual,ROCE Annual 1Yr Ago %,ROCE Annual %,Market Capitalization in Cr,MACD,50Day EMA Rs,200Day EMA Rs,% Distance from 52week high,Previous Day RSI,RSI
CESC Ltd.,CESC,500084,INE486A01021,86.4,Electric Utilities,15.7,3.7,9.8,14.8,-1.1,13.5,119,180.7,44.8,1.1,8,5.6,11459.6,1.9,77.2,74.6,1.4,70.3,65.9
CG Power and Industrial Solutions Ltd.,CGPOWER,500093,INE067A01029,424,Heavy Electrical Equipment,74.7,9.8,13.8,14.1,5.5,25.6,435,422.7,80.4,,43.6,52.2,64748,4.7,399.8,337.3,2.5,50.7,63.1
Chalet Hotels Ltd.,CHALET,542399,INE427F01016,540.8,Hotels,516.2,,16.2,38.4,324.9,122.4,555,,54.7,1.4,,10,11086.7,19,479.3,410.5,2.6,70.1,72.4
Chaman Lal Setia Exports Ltd.,CLSEL,530307,INE419D01026,202.2,Other Agricultural Products,8.9,0.1,8.5,11.4,81.1,49.4,222,,33.2,0.1,20.1,24.9,1046.3,6.1,191.2,166.2,8.9,55,55.2
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,500085,INE085A01013,279,Fertilizers,13,-0.3,3.5,6.5,-34,73.1,516,755.7,26.3,0.2,21.4,17.4,11610.1,1.2,272.2,288.4,24,60.9,55
Chemcon Speciality Chemicals Ltd.,CHEMCON,543233,INE03YM01018,279.6,Specialty Chemicals,-8.2,-0.5,18.2,22.4,-12.2,18.7,731.2,,65.2,,20.1,16.4,1024.4,1.6,267.5,284.5,41.5,63,66.1
Chemplast Sanmar Ltd.,CHEMPLASTS,543336,INE488A01050,528.6,Specialty Chemicals,-8.2,-1.9,3.1,9.3,-76.5,-15.6,826,,65.2,3.5,33.4,11.3,8356.9,20.8,461.8,445.9,1.9,72.2,73.5
Chennai Petroleum Corporation Ltd.,CHENNPETRO,500110,INE178A01016,412.6,Refineries/Petro-Products,-18.9,-0.1,4.6,7.4,161.2,76.9,480.5,605.8,23.6,0.3,36.8,54.3,6143.3,1.7,387.3,321.8,10,57.9,61
Cheviot Company Ltd.,CHEVIOT,526817,INE974B01016,1190.1,Jute & Jute Products,-18.2,-1.4,9.7,11.4,-31.4,-3.8,1499.8,,22.9,,18,12.3,716.1,-5,1206.8,1180.7,11.9,41.4,38.6
Choice International Ltd.,CHOICEIN,531358,INE102B01014,380.2,Finance (including NBFCs),56.2,1,15.6,24.9,12.1,38.2,394.9,,27.2,0.2,19.4,17.2,3783.4,2.7,357.7,311.4,3.7,52.2,54.3
